"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1827129983585939750","Fri Aug 23 23:45:09 +0000 2024","1","2024 Tahun Rekonsiliasi dgn diakhirinya perselisihan pendukung Jokowi dan Prabowo Pendukung Ahok dan Anies. Indonesia Emas smg terwujud https://t.co/DYHdWeDcRw","1827129983585939750","https://pbs.twimg.com/media/GVtFCUMa8AIf2bn.jpg","","in","Indonesia","0","0","0","https://x.com/mas_thol3/status/1827129983585939750","318831793","mas_thol3"
"1826887634922471442","Fri Aug 23 23:45:09 +0000 2024","0","@santoz92725 @ch_chotimah2 @jokowi Gen Stupid awokwok lu lg lihat maling di depan mata mau lsg ditangkep malah maling lu suruh nangkep jg copet di tempat lain.. keburu kabur maling nya kl ngurus yg lain barengan https://t.co/yfcnejqmFb","1827129983564968268","https://pbs.twimg.com/tweet_video_thumb/GVtFCB2a8AETzkF.jpg","santoz92725","in","Denpasar Selatan, Indonesia","0","2","0","https://x.com/rumahkecilfact/status/1827129983564968268","1146912313514921984","rumahkecilfact"
"1826978445357978097","Fri Aug 23 23:45:06 +0000 2024","0","@BudiBukanIntel Apa ini rangkaian satu paket dengan keputusan jokowi menaikkan gaji anggota KPU sampai 50%?","1827129972294873312","","BudiBukanIntel","in","Jawa Timur, Indonesia","0","0","0","https://x.com/arie_havani/status/1827129972294873312","982641544409726976","arie_havani"
"1827129966724837617","Fri Aug 23 23:45:05 +0000 2024","0"," Percakapan suami istri yang ga akur² banget di pagi hari. Ayah berangkat dulu. Iyaa lagi nungguin kang sampah ga lewat². Waduh bau busuk banget dong? Bau jokowi. Settttttt.","1827129966724837617","","","in","Indonesia","0","2","0","https://x.com/putussd/status/1827129966724837617","150912947","putussd"
"1826935756348432399","Fri Aug 23 23:45:05 +0000 2024","0","@pelangi_ku77 @DPR_RI @AntoniusCDN @03__nakula @NgkongRoses @denni_sauya @HumorJonTampan @BiLLRaY2019 @DS_yantie @Aryprasetyo85 Si Yahya jadi ceboker Jokowi dengan meminta DPR menghentikan ruu pilkada padahal ruu pilkada inisiatif bersama rezim Jokowi dan DPR jadi si Yahya berusaha mengalihkan isu bahwa DPR yg bermasalah bukan rezim jokodok","1827129966204744045","","pelangi_ku77","in","","0","0","0","https://x.com/DadangYusup5/status/1827129966204744045","1350052213717049347","DadangYusup5"
"1826819007347130567","Fri Aug 23 23:44:52 +0000 2024","0","@Box2boxID Ni geblek ya. Ngata2in keluarga Pak Jokowi. Kalian tu sampah. Kalah jg pilpres kmrn skt hati smp skrg. Lgian urusan dpr n mk ttp aja yg kena Pak Jokowi. Emg dungu lu box to box","1827129912614121563","","Box2boxID","in","","0","0","0","https://x.com/KlementRafael/status/1827129912614121563","1802170606022164480","KlementRafael"
"1827129902715564279","Fri Aug 23 23:44:49 +0000 2024","2","Tetap semangat melangkah kemasa depan positif tegak lurus bersama bapak presiden republik Indonesia 🇮🇩 ( Jokowi 🇮🇩)","1827129902715564279","","","in","Kalimantan Timur, Indonesia","0","1","1","https://x.com/BeringinKubar/status/1827129902715564279","1526159328381923328","BeringinKubar"
"1827124709252854171","Fri Aug 23 23:44:49 +0000 2024","12","@Puthutea Luar biasa hasil cuci uang Mulyono","1827129899360121183","","Puthutea","in","Satu shaf di depanmu","0","0","1","https://x.com/rayen_farmasi/status/1827129899360121183","109195959","rayen_farmasi"
"1827128761143411069","Fri Aug 23 23:44:47 +0000 2024","0","@FarahhJavaid Salah satu kebiasaan jokowi (entah positif/negatif)..nabok nyilih tangan..masih aja banyak yg ke gocek..wkwkwk","1827129891990667373","","FarahhJavaid","in","Depok","0","1","0","https://x.com/ade_prasetya5/status/1827129891990667373","2346930510","ade_prasetya5"
"1826463067359629454","Fri Aug 23 23:44:45 +0000 2024","0","@alpokatmentega @jokowi Desain tsb bukan buatan @kemkominfo spt saat Mulyono Ultah kan..?","1827129886236115186","","alpokatmentega","in","Jakarta","0","0","0","https://x.com/repoeblikan/status/1827129886236115186","280298505","repoeblikan"
"1826541915996913810","Fri Aug 23 23:44:36 +0000 2024","0","@xquitavee @jokowi Masalah kalau rubah uu paksa koalisi gunakan fasilitas negara cawe cawe dan habisin duit nenek loe ","1827129847296225413","","xquitavee","in","","0","0","0","https://x.com/Marshallsb70/status/1827129847296225413","1306829296019800066","Marshallsb70"
"1827129826454729037","Fri Aug 23 23:44:31 +0000 2024","1","Pelaku pembakaran rumah warga Buddha di Lombok gmana @mohmahfudmd @MajelisUlamaID @MUIPusat @Kemenag_RI @DPR_RI @Itjen_Kemdikbud @kemkominfo @PolhukamRI @Kemendagri_RI @jokowi @Kemdikbud_RI @na_dirs @DivHumas_Polri @KomnasHAM @aagym @BNPTRI @KPAI_official @ListyoSigitP?","1827129826454729037","","","in","Blue Earth, MN","0","0","0","https://x.com/jelasbukanonta/status/1827129826454729037","2687473422","jelasbukanonta"
"1827129806460514425","Fri Aug 23 23:44:26 +0000 2024","0","Selamat pagi Mulyono bin Widjiatno Notomihardjo @jokowi #KawalPutusanMK #TolakPilkadaAkal2an #TolakPolitikDinasti","1827129806460514425","","","in","","0","0","0","https://x.com/kullyeah/status/1827129806460514425","1457991347202236419","kullyeah"
